gene,scores,avg_logFC,p_val,p_val_adj
CYB5A,17.656992,4.5269866,8.990421483835188e-70,8.918498111964507e-67
ALB,16.160162,8.378665,9.630797291525677e-59,4.776875456596736e-56
MMP7,-16.089003,-2.4069808,3.047081154929671e-58,1.0075681685634112e-55
IFITM1,-15.988994,-3.6803322,1.524738191617132e-57,3.781350715210488e-55
RCN2,14.918573,1.6914473,2.4955210011604595e-50,4.951113666302352e-48
VEGFA,-14.821587,-3.1452017,1.062442294363511e-49,1.7565712600143383e-47
PTGDS,-14.739986,-2.878006,3.568547620348308e-49,5.057141770550746e-47
CP,-14.650694,-2.746041,1.3334774499329715e-48,1.6535120379168848e-46
CHI3L1,-14.558928,-5.167539,5.125567731594442e-48,5.649514655268541e-46
HILPDA,-14.529255,-3.2304413,7.907623025495134e-48,7.844362041291173e-46
DKK4,14.368252,3.1410885,8.187174412367355e-47,7.383342742789469e-45
FGG,14.336656,5.7582073,1.2912951314970633e-46,1.0674706420375723e-44
ADAM23,14.280333,3.4968696,2.902140026645406e-46,2.2145560818709558e-44
ASRGL1,14.017123,2.6655326,1.2247967219524e-44,8.67855962983415e-43
CADM3,-13.864363,-8.733471,1.0414652668033345e-43,6.887556964459386e-42
RNASET2,-13.827822,-1.6022655,1.731864804903075e-43,1.0737561790399065e-41
FGB,13.775345,8.74608,3.586681745219228e-43,2.092934288974985e-41
TBX15,13.757211,4.1804447,4.609690262880915e-43,2.5404515226543705e-41
KRT5,13.663247,2.8764744,1.683081417264273e-42,8.787456662769257e-41
TOP2A,13.502244,3.5329194,1.516838102892624e-41,7.523516990347416e-40
GGH,13.375586,2.0070436,8.398995062500914e-41,3.9675252866670986e-39
IGFBP3,-13.271181,-3.183323,3.401776943973859e-40,1.5338921492827582e-38
SSR2,13.065669,1.3592726,5.1727945426906077e-39,2.2310487766735143e-37
FGA,12.985442,5.627371,1.4798081839875957e-38,6.116540493815396e-37
SMYD2,12.9780245,1.3879738,1.6303236698416806e-38,6.469124321931789e-37
DKK1,12.89505,3.0517657,4.79951667626059e-38,1.8312002087886557e-36
FNDC3A,12.876917,1.7620592,6.071300017093605e-38,2.2306405988729094e-36
SLPI,-12.86263,-1.667708,7.30485614037304e-38,2.5880061754464486e-36
SBSPON,12.849442,2.1238825,8.663316694302026e-38,2.9634517795681414e-36
IGSF8,12.787623,1.676951,1.9226409210838527e-37,6.357532645717273e-36
MKX,12.722507,3.1658208,4.433969637344738e-37,1.4188702839503163e-35
SERPINA3,-12.677724,-3.3667967,7.858072440085413e-37,2.436002456426478e-35
PERP,12.245544,1.9310614,1.7748222064307842e-34,5.335223117513145e-33
IKZF3,12.235654,3.000245,2.004849496123371e-34,5.849443235748189e-33
HOXD11,12.121358,1.4511478,8.139908114879346e-34,2.3070825285600887e-32
MSX2,12.088388,1.9131454,1.2164990750006475e-33,3.3521307844462287e-32
SOX4,12.044978,1.2416656,2.0613165944837996e-33,5.526556923588998e-32
GPT2,11.934255,2.3057008,7.845892101178499e-33,2.048190780097124e-31
SERPINE1,-11.8312235,-3.4366097,2.69189153704495e-32,6.847067704483565e-31
SLC26A7,11.81776,3.8878703,3.159950271960803e-32,7.836676674462791e-31
TMED3,11.773252,1.6444464,5.361730032247304e-32,1.2972771199973966e-30
KPNA2,11.731765,1.9498856,8.761298448989296e-32,2.0693352527136624e-30
