gene,avg_logFC,p_val_adj,gene_set,scores,p_val
ITIH2,29.117199,1.8722528294653136e-16,Other,8.469125,2.472430651814074e-17
LBP,28.258259,4.120671922458393e-07,Other,5.2696776,1.3666341355733984e-07
ITIH3,28.22381,1.8921618299946057e-07,Other,5.42024,5.951905922092967e-08
FGL1,27.355062,0.001479009687977,Other,3.3500094,0.0008080879545197
ASGR2,27.251797,0.0011408783397102,Other,3.4252906,0.0006141421707714
UGT2B15,26.911491,0.0069313827873179,Other,2.8606822,0.0042273050265396
BAAT,26.863428,0.0432318370948756,Other,2.1831522,0.0290246003076483
PAH,26.699429,0.0181763618653559,Other,2.5219173,0.0116717162381368
AADAC,26.51858,0.0049739374409117,Other,2.973604,0.0029432472558621
FGB,8.74608,2.092934288974985e-41,Other,13.775345,3.586681745219228e-43
CADM3,-8.733471,6.887556964459386e-42,Other,-13.864363,1.0414652668033343e-43
ALB,8.378665,4.776875456596735e-56,Other,16.160162,9.630797291525677e-59
ACKR1,-7.852329,1.4708299680148704e-19,Other,-9.29969,1.4085569250142407e-20
GC,7.3829203,1.2229164673869665e-15,Other,8.239161,1.734231436153329e-16
VTN,6.6179805,9.726918832471284e-24,Other,10.302523,6.863753208397074e-25
AMBP,5.918968,1.170713013052229e-12,Other,7.3407326,2.1242776446512222e-13
FGG,5.7582073,1.0674706420375725e-44,Other,14.336656,1.2912951314970631e-46
FGA,5.627371,6.116540493815396e-37,Other,12.985442,1.4798081839875954e-38
CASP14,-5.6187997,0.0001194569536625,Other,-4.0311112,5.551376576453895e-05
NEUROD1,-5.5926137,0.0001423289395456,Other,-3.987701,6.671669041204599e-05
SPRR2A,5.5685477,1.4968099898773538e-17,Other,8.771349,1.7653908146738948e-18
CHI3L1,-5.167539,5.6495146552685415e-46,Other,-14.558928,5.1255677315944417e-48
CPS1,5.100334,0.0011006568952934,Other,3.4365554,0.0005891621082669
CRP,5.083758,1.0117202304986397e-29,Other,11.588895,4.691444617231595e-31
IVL,4.9675765,0.0008191434039939,Other,3.5233757,0.0004260866899807
CPB2,4.938792,0.0008454610667848,Other,3.5129354,0.000443185236621
