cell_id,score,true_label,predicted,annotation,sample
17_11,4.0916433,1,1,03C-activated_fibroblast,HS5_UC_R_0
27_11,3.7130227,0,1,03A-Myofibroblast,HS5_UC_R_0
28_11,3.7490187,1,1,03C-activated_fibroblast,HS5_UC_R_0
32_11,3.039714,1,1,03C-activated_fibroblast,HS5_UC_R_0
42_11,3.8575447,1,1,03C-activated_fibroblast,HS5_UC_R_0
47_11,3.2887053,1,1,03C-activated_fibroblast,HS5_UC_R_0
58_11,2.0471754,1,1,03C-activated_fibroblast,HS5_UC_R_0
63_11,3.924169,1,1,03C-activated_fibroblast,HS5_UC_R_0
74_11,3.3153806,1,1,03C-activated_fibroblast,HS5_UC_R_0
75_11,1.2433534,0,0,03B-Fibroblast,HS5_UC_R_0
79_11,2.279039,1,1,03C-activated_fibroblast,HS5_UC_R_0
82_11,3.4424782,1,1,03C-activated_fibroblast,HS5_UC_R_0
100_11,3.106697,1,1,03C-activated_fibroblast,HS5_UC_R_0
101_11,1.105955,0,0,03B-Fibroblast,HS5_UC_R_0
106_11,2.0713246,0,1,03B-Fibroblast,HS5_UC_R_0
150_11,1.0731413,0,0,03B-Fibroblast,HS5_UC_R_0
168_11,4.5757008,1,1,03C-activated_fibroblast,HS5_UC_R_0
172_11,1.1385447,0,0,03B-Fibroblast,HS5_UC_R_0
204_11,2.1416621,0,1,03B-Fibroblast,HS5_UC_R_0
228_11,1.2194688,0,0,03B-Fibroblast,HS5_UC_R_0
266_11,3.6605144,1,1,03C-activated_fibroblast,HS5_UC_R_0
278_11,1.1490052,0,0,03B-Fibroblast,HS5_UC_R_0
286_11,3.0960429,1,1,03C-activated_fibroblast,HS5_UC_R_0
320_11,3.2129655,1,1,03C-activated_fibroblast,HS5_UC_R_0
322_11,2.1040995,1,1,03C-activated_fibroblast,HS5_UC_R_0
341_11,1.0771132,0,0,03B-Fibroblast,HS5_UC_R_0
350_11,1.0694766,0,0,03B-Fibroblast,HS5_UC_R_0
373_11,2.3086867,0,1,03B-Fibroblast,HS5_UC_R_0
377_11,2.293305,0,1,03B-Fibroblast,HS5_UC_R_0
388_11,2.9362564,1,1,03C-activated_fibroblast,HS5_UC_R_0
389_11,2.134058,0,1,03B-Fibroblast,HS5_UC_R_0
405_11,2.250036,0,1,03B-Fibroblast,HS5_UC_R_0
443_11,2.1972017,0,1,03B-Fibroblast,HS5_UC_R_0
449_11,2.5156443,0,1,03B-Fibroblast,HS5_UC_R_0
466_11,2.541304,1,1,03C-activated_fibroblast,HS5_UC_R_0
480_11,2.036919,0,1,03B-Fibroblast,HS5_UC_R_0
502_11,2.0623064,0,1,03B-Fibroblast,HS5_UC_R_0
504_11,1.174918,0,0,03B-Fibroblast,HS5_UC_R_0
512_11,2.1059575,0,1,03B-Fibroblast,HS5_UC_R_0
539_11,2.275031,0,1,03B-Fibroblast,HS5_UC_R_0
540_11,2.125043,0,1,03B-Fibroblast,HS5_UC_R_0
551_11,3.1895208,1,1,03C-activated_fibroblast,HS5_UC_R_0
558_11,2.1273446,0,1,03B-Fibroblast,HS5_UC_R_0
569_11,1.1808949,0,0,03B-Fibroblast,HS5_UC_R_0
570_11,1.2941821,0,0,03B-Fibroblast,HS5_UC_R_0
574_11,2.1815886,1,1,03C-activated_fibroblast,HS5_UC_R_0
588_11,2.2425232,1,1,03C-activated_fibroblast,HS5_UC_R_0
590_11,3.2172666,1,1,03C-activated_fibroblast,HS5_UC_R_0
607_11,4.500307,0,1,03A-Myofibroblast,HS5_UC_R_0
608_11,1.1804986,0,0,03B-Fibroblast,HS5_UC_R_0
626_11,1.2207277,0,0,03B-Fibroblast,HS5_UC_R_0
646_11,2.2432303,0,1,03B-Fibroblast,HS5_UC_R_0
650_11,1.1508336,0,0,03B-Fibroblast,HS5_UC_R_0
651_11,2.084611,0,1,03B-Fibroblast,HS5_UC_R_0
682_11,5.060628,1,1,03C-activated_fibroblast,HS5_UC_R_0
712_11,0.0,0,0,03A-Myofibroblast,HS5_UC_R_0
719_11,2.3173108,0,1,03A-Myofibroblast,HS5_UC_R_0
729_11,3.0927343,1,1,03C-activated_fibroblast,HS5_UC_R_0
740_11,3.3355038,1,1,03C-activated_fibroblast,HS5_UC_R_0
742_11,2.8264742,1,1,03C-activated_fibroblast,HS5_UC_R_0
747_11,3.4261553,1,1,03C-activated_fibroblast,HS5_UC_R_0
776_11,2.5547633,0,1,03B-Fibroblast,HS5_UC_R_0
777_11,4.351431,1,1,03C-activated_fibroblast,HS5_UC_R_0
796_11,3.3141284,1,1,03C-activated_fibroblast,HS5_UC_R_0
808_11,2.2754788,1,1,03C-activated_fibroblast,HS5_UC_R_0
838_11,3.2435775,1,1,03C-activated_fibroblast,HS5_UC_R_0
840_11,2.3386595,0,1,03B-Fibroblast,HS5_UC_R_0
841_11,0.0,0,0,03B-Fibroblast,HS5_UC_R_0
847_11,4.4638057,1,1,03C-activated_fibroblast,HS5_UC_R_0
865_11,2.398789,0,1,03B-Fibroblast,HS5_UC_R_0
874_11,1.1366867,0,0,03B-Fibroblast,HS5_UC_R_0
879_11,2.1494045,0,1,03B-Fibroblast,HS5_UC_R_0
882_11,2.1737247,0,1,03B-Fibroblast,HS5_UC_R_0
885_11,2.4362404,0,1,03B-Fibroblast,HS5_UC_R_0
887_11,2.172935,0,1,03B-Fibroblast,HS5_UC_R_0
903_11,0.0,0,0,03B-Fibroblast,HS5_UC_R_0
909_11,3.0713062,1,1,03C-activated_fibroblast,HS5_UC_R_0
926_11,3.472579,1,1,03C-activated_fibroblast,HS5_UC_R_0
928_11,1.3252734,0,0,03A-Myofibroblast,HS5_UC_R_0
929_11,3.5519207,1,1,03C-activated_fibroblast,HS5_UC_R_0
933_11,1.2066597,0,0,03B-Fibroblast,HS5_UC_R_0
952_11,2.1523798,0,1,03B-Fibroblast,HS5_UC_R_0
970_11,1.9828514,0,1,03B-Fibroblast,HS5_UC_R_0
979_11,2.9733734,0,1,03B-Fibroblast,HS5_UC_R_0
