cell_id,score,true_label,predicted,annotation,sample
4_11,1.9347794,1,1,05B-MNP_activated_inf,HS5_UC_R_0
13_11,1.2264435,0,0,05-MNP,HS5_UC_R_0
15_11,2.682032,1,1,05B-MNP_activated_inf,HS5_UC_R_0
16_11,1.2148781,0,0,05-MNP,HS5_UC_R_0
21_11,1.6803255,1,1,05B-MNP_activated_inf,HS5_UC_R_0
29_11,1.2643174,0,0,05-MNP,HS5_UC_R_0
30_11,1.2788352,0,0,05-MNP,HS5_UC_R_0
33_11,1.6994697,0,1,05-MNP,HS5_UC_R_0
37_11,1.2235688,0,0,05-MNP,HS5_UC_R_0
41_11,1.3995821,0,0,05-MNP,HS5_UC_R_0
55_11,1.3029245,1,0,05B-MNP_activated_inf,HS5_UC_R_0
61_11,0.7579514,0,0,05-MNP,HS5_UC_R_0
62_11,2.1118448,1,1,05B-MNP_activated_inf,HS5_UC_R_0
81_11,1.4069326,1,0,05B-MNP_activated_inf,HS5_UC_R_0
95_11,0.69842786,0,0,05-MNP,HS5_UC_R_0
96_11,0.6570162,0,0,05-MNP,HS5_UC_R_0
113_11,1.3066722,1,0,05B-MNP_activated_inf,HS5_UC_R_0
118_11,1.2840049,0,0,05-MNP,HS5_UC_R_0
136_11,1.8100097,0,1,05-MNP,HS5_UC_R_0
142_11,2.827841,1,1,05B-MNP_activated_inf,HS5_UC_R_0
145_11,1.2943277,0,0,05-MNP,HS5_UC_R_0
159_11,0.63751787,0,0,05-MNP,HS5_UC_R_0
191_11,2.609465,0,1,05-MNP,HS5_UC_R_0
202_11,0.72870415,0,0,05-MNP,HS5_UC_R_0
205_11,2.5254495,1,1,05B-MNP_activated_inf,HS5_UC_R_0
212_11,1.2097843,0,0,05-MNP,HS5_UC_R_0
239_11,0.7330731,0,0,05-MNP,HS5_UC_R_0
254_11,0.66614705,0,0,05-MNP,HS5_UC_R_0
259_11,2.3383944,0,1,05-MNP,HS5_UC_R_0
