gene,scores,avg_logFC,p_val,p_val_adj
MZT2A,16.428743,0.49951798,1.1910226007837912e-60,1.1421906741516556e-57
MALAT1,14.024547,0.21831892,1.1031459847278104e-44,3.526389997846567e-42
TAGLN,10.907147,3.5645702,1.0654694642378455e-27,2.0435704324081878e-25
MYH11,7.6926937,2.9669888,1.440692417917846e-14,1.727030035979018e-12
MYL9,6.5250845,2.4740005,6.796322421134935e-11,5.205631933414466e-09
ACTG2,6.5194483,3.2631204,7.056643913909078e-11,5.205631933414466e-09
TPM2,6.318306,1.2526137,2.6444633128498723e-10,1.5850251981393923e-08
TYK2,6.0992723,-0.59964925,1.0655232826997465e-09,4.8658896576621754e-08
ACTA2,5.7919226,1.9147137,6.958524657694271e-09,2.566625056434156e-07
TPM1,5.691817,1.7096868,1.2569481314852752e-08,4.4644935484976994e-07
FN1,4.619401,1.0212044,3.8484915930151415e-06,8.201563194892268e-05
COL6A1,4.34835,-0.6855846,1.3716560880113405e-05,0.0002630836376805751
COL6A2,3.2805882,-1.0325996,0.0010359087667954894,0.012115079358010662
HSPB1,2.830939,0.08652781,0.004641157726435159,0.039739913032601056
CAV1,2.6161456,0.8572676,0.008892862176770806,0.06770506562993298
IGFBP5,2.5769513,0.97743237,0.009967600208879643,0.07467912968996544
CALD1,2.4235866,-0.048290722,0.015368090753201728,0.10536137683234825
THBS1,2.234647,0.6787085,0.025440532112895674,0.15842513179394124
RPL21,2.1139615,-0.8391666,0.034518556744747936,0.20184936535495895
IGFBP7,2.0255415,-0.8242341,0.042811790995077516,0.2346086146530248
NEAT1,1.842083,-0.55757076,0.06546301459147733,0.32956029297842165
PDGFA,1.7466824,1.9555993,0.08069243429248496,0.38308932914105487
CRYAB,1.5950241,0.9236143,0.11070684799686033,0.4720305363734549
CLU,1.479199,1.0210923,0.13908711336403817,0.5422135842118398
COL4A2,1.4626527,0.05303641,0.14356244651702504,0.5529172136940844
GSN,1.4034475,-0.98914444,0.1604834473934409,0.5943366158987687
S100A6,1.2012191,-0.47045952,0.22966623299269628,0.7341663914666524
NPPC,1.1579398,0.50131,0.24688859689774978,0.761305994935505
NRXN3,1.0940809,1.4786967,0.2739194803280661,0.7936216967813154
COL9A2,1.0690545,0.43802002,0.28504512724492503,0.8087522988990624
AZU1,1.0474406,-0.16063891,0.2948963716608125,0.8183487219459257
TNFRSF12A,1.025103,0.33076718,0.3053145837262369,0.8271092819024327
CD9,1.0181742,0.3589766,0.3085951798678116,0.8289713655272586
ITGA1,0.90819216,0.17321934,0.36377671193307726,0.9014518520512173
ADGRE5,0.7715807,1.2021098,0.4403628150359298,0.9929891396829801
DUSP5,0.7525006,0.21527693,0.45175007638111764,0.9997937165551851
ANGPTL1,0.69365734,0.7551633,0.48789711999734797,0.9997937165551851
PPARD,0.67917925,1.4244878,0.49702431064512675,0.9997937165551851
CHEK2,0.627937,1.6319548,0.5300452123556436,0.9997937165551851
KRT80,0.5852782,2.2056754,0.5583606470677863,0.9997937165551851
COL12A1,0.56433666,0.25450915,0.5725250363696112,0.9997937165551851
IL12A,0.5338809,1.0616437,0.5934239453216152,0.9997937165551851
RSPO3,0.52462524,0.8442985,0.5998437444218956,0.9997937165551851
FGF12,0.4884816,1.2348136,0.6252087395709744,0.9997937165551851
PTK6,0.4849655,1.169142,0.6277008137975024,0.9997937165551851
CPB1,0.46376538,2.68884,0.6428158397502642,0.9997937165551851
NLRP3,0.450218,2.703566,0.6525532552721459,0.9997937165551851
COL9A1,0.44577116,1.4908428,0.6557625623657959,0.9997937165551851
EPOR,0.44101405,0.5809936,0.6592028232538629,0.9997937165551851
ESR1,0.43563646,1.2230828,0.6631005106352892,0.9997937165551851
PTGS1,0.43501598,0.5738582,0.6635508337898132,0.9997937165551851
INHA,0.42643252,0.635435,0.6697927148573186,0.9997937165551851
CD19,0.4045085,1.3940139,0.6858388337052104,0.9997937165551851
KRT1,0.39675236,0.43282694,0.6915500888237975,0.9997937165551851
COL21A1,0.39323625,1.8130071,0.6941450070703323,0.9997937165551851
IL27RA,0.38951328,0.64033705,0.6968964803745694,0.9997937165551851
GDF10,0.38827232,1.017969,0.6978145270539116,0.9997937165551851
ITGA5,0.38020593,0.101521544,0.7037925615560994,0.9997937165551851
VEGFC,0.38020593,0.82147694,0.7037925615560994,0.9997937165551851
CTLA4,0.3772069,1.3676287,0.7060198644916289,0.9997937165551851
ARTN,0.37425956,0.842476,0.7082112220027239,0.9997937165551851
COL4A1,0.3636078,0.119634375,0.7161509105357198,0.9997937165551851
CXCR1,0.36334926,1.6322386,0.7163440075757587,0.9997937165551851
LAMP3,0.36324584,1.1258401,0.7164212514716872,0.9997937165551851
ATF3,0.3628322,0.6700475,0.7167302560655477,0.9997937165551851
ADGRB2,0.3624185,1.3102553,0.7170393070412102,0.9997937165551851
RAMP2,0.35807508,0.6037072,0.720287131019274,0.9997937165551851
ADGRL1,0.34711307,0.56420183,0.7285063779401297,0.9997937165551851
RGS5,0.34354523,0.22507624,0.7311883112363868,0.9997937165551851
ITGAM,0.34282133,0.7860138,0.7317328739939327,0.9997937165551851
ITGB4,0.33894327,0.5955609,0.734652469778087,0.9997937165551851
KRT13,0.33625448,1.1585375,0.7366789794544919,0.9997937165551851
LEFTY2,0.3275676,0.5928543,0.7432386258793389,0.9997937165551851
IL33,0.32141438,0.40296438,0.7478963775957417,0.9997937165551851
CXCL5,0.30884945,1.015959,0.7574360528391876,0.9997937165551851
BMX,0.3084358,1.2049155,0.7577507543705213,0.9997937165551851
IL23A,0.2955089,0.4454191,0.7676051630046854,0.9997937165551851
GC,0.29468158,1.1923256,0.7682371452916559,0.9997937165551851
VIM,0.29375082,-1.5044725,0.7689483095350313,0.9997937165551851
LINC02446,0.29230303,0.8161451,0.7700549513410474,0.9997937165551851
ITGAE,0.29178596,0.81648207,0.770450294190226,0.9997937165551851
FZD6,0.29168254,0.5618906,0.7705293699214015,0.9997937165551851
IFNG,0.264898,1.0028014,0.791088043406435,0.9997937165551851
CXCL17,0.24948913,0.6717429,0.8029824466273108,0.9997937165551851
CD2,0.24752425,0.5156555,0.8045025315604342,0.9997937165551851
MARCO,0.2390442,0.98703253,0.8110713106970606,0.9997937165551851
ACVR1B,0.23459734,0.5221608,0.814521270114805,0.9997937165551851
CLEC4E,0.22989196,0.55225474,0.8181757282657539,0.9997937165551851
SLPI,0.22735828,1.0646551,0.8201451565915268,0.9997937165551851
IL2RB,0.22332509,0.66466016,0.823282501068008,0.9997937165551851
PTGIS,0.215207,0.45305082,0.8296059348513527,0.9997937165551851
WNT3,0.21360406,0.39603,0.8308558306978283,0.9997937165551851
INHBB,0.2070372,0.58090365,0.8359808073723283,0.9997937165551851
CCL18,0.20393474,0.54190403,0.838404494348016,0.9997937165551851
PNOC,0.20367621,0.35169965,0.838606537811807,0.9997937165551851
CD8B,0.20067717,1.2310637,0.8409510161815904,0.9997937165551851
CHEK1,0.19871227,0.57895416,0.8424878202856645,0.9997937165551851
LYN,0.19829862,0.47561505,0.842811434657393,0.9997937165551851
CD8A,0.19736788,0.40772653,0.843539663973883,0.9997937165551851
TNFRSF11A,0.19654056,0.53126174,0.8441870912550675,0.9997937165551851
ITGA9,0.19633372,0.16553883,0.8443489645422678,0.9997937165551851
ADIPOQ,0.19085272,0.45715496,0.8486409812151953,0.9997937165551851
FFAR3,0.18816392,0.38050026,0.8507481488951891,0.9997937165551851
IFNA1,0.1880605,0.47080815,0.8508292151956366,0.9997937165551851
C11orf96,0.18449269,-0.32565823,0.8536269623206796,0.9997937165551851
PTHLH,0.18066633,0.40040267,0.8566294910807765,0.9997937165551851
ATG12,0.17823607,0.3424127,0.8585375834544097,0.9997937165551851
ITGAL,0.17513362,0.42489985,0.8609746458930468,0.9997937165551851
ARG1,0.16810139,0.6537612,0.8665035221785229,0.9997937165551851
CYP19A1,0.1668604,0.5510674,0.8674798926648513,0.9997937165551851
TCL1A,0.16448185,0.43657506,0.8693518333548313,0.9997937165551851
DDIT3,0.1608106,0.24252099,0.8722425672722773,0.9997937165551851
KRT86,0.15626034,0.46316215,0.8758278137103311,0.9997937165551851
GCG,0.15579498,0.60554075,0.8761946316034129,0.9997937165551851
CCL7,0.15367496,0.4242837,0.8778660262857422,0.9997937165551851
MPO,0.14814225,0.36786798,0.8822305054994737,0.9997937165551851
GDNF,0.14731494,0.22003444,0.8828834486676149,0.9997937165551851
KRT6C,0.14607395,0.38366538,0.8838630125021802,0.9997937165551851
PTPRCAP,0.14183393,0.34333232,0.8872111865412612,0.9997937165551851
BATF3,0.13914514,0.4576935,0.8893354661942052,0.9997937165551851
IL2,0.13790415,0.47401872,0.8903161719750796,0.9997937165551851
MMP9,0.13749048,0.4038205,0.8906431112749877,0.9997937165551851
LAG3,0.1328368,0.2259175,0.894322446782815,0.9997937165551851
GDF6,0.13200948,0.25346726,0.8949767913129418,0.9997937165551851
KRT6B,0.12963094,0.30236334,0.8968584284017634,0.9997937165551851
RGS2,0.12720068,0.026253708,0.8987815698860292,0.9997937165551851
CUZD1,0.12678702,0.4213684,0.8991089726423203,0.9997937165551851
DUSP2,0.12554604,0.43874282,0.9000912837207515,0.9997937165551851
GZMH,0.12146113,0.26418206,0.9033257974097455,0.9997937165551851
RSPO2,0.120220155,0.29402435,0.904308754830991,0.9997937165551851
IAPP,0.11411866,0.62685144,0.9091437336516385,0.9997937165551851
ACVR2A,0.11411866,0.34875447,0.9091437336516385,0.9997937165551851
ADGRG3,0.11267085,0.39085135,0.910291517767493,0.9997937165551851
CXCR6,0.11080937,0.2859564,0.911767515011016,0.9997937165551851
CXCL8,0.108947895,0.30450645,0.9132438167378638,0.9997937165551851
RAMP3,0.10103664,0.58216625,0.9195213784509543,0.9997937165551851
EFNB2,0.09922687,0.30470228,0.9209581415434877,0.9997937165551851
S100B,0.09710686,0.15061478,0.9226415347179187,0.9997937165551851
EGF,0.09478001,0.35196817,0.9244895600540606,0.9997937165551851
SELL,0.09446977,0.35995972,0.924735994445475,0.9997937165551851
PRF1,0.094418064,0.39063504,0.9247770675468965,0.9997937165551851
IGHD,0.09240147,0.21777304,0.926379073836162,0.9997937165551851
NPR3,0.09090195,0.30053604,0.9275705031707475,0.9997937165551851
VPREB3,0.08423167,0.28244925,0.9328722405822205,0.9997937165551851
CSF3R,0.08402484,0.32869315,0.9330366843780904,0.9997937165551851
CHGA,0.08154287,0.3072678,0.9350102308447389,0.9997937165551851
RARRES1,0.079371154,0.300971,0.9367374120974595,0.9997937165551851
ITGB1,0.07688919,-0.19963908,0.9387116976402293,0.9997937165551851
BMPR1A,0.07513113,0.16752915,0.9401103785886714,0.9997937165551851
NOD2,0.07404527,0.20301536,0.940974362334916,0.9997937165551851
TNFRSF10A,0.07239063,0.43497348,0.9422910422386626,0.9997937165551851
BIRC5,0.0715116,0.1667191,0.9429905928170981,0.9997937165551851
RAMP1,0.06411742,0.08475113,0.9488767358346967,0.9997937165551851
ADGRA3,0.05755055,0.15452874,0.9541066397081391,0.9997937165551851
TTR,0.055999324,0.3196054,0.9553423470758724,0.9997937165551851
DUSP1,0.054965172,0.10767722,0.9561662118082959,0.9997937165551851
ADGRF1,0.054861754,0.27999172,0.9562486008717775,0.9997937165551851
NCR1,0.05475834,0.2368886,0.956330990402698,0.9997937165551851
IFNL3,0.054448094,0.23170154,0.9565781617913076,0.9997937165551851
BID,0.046691954,0.15664783,0.9627587417943497,0.9997937165551851
OLR1,0.04183144,0.2533178,0.9666330698366093,0.9997937165551851
VWF,0.04059046,0.27129564,0.967622389860417,0.9997937165551851
ERBB3,0.035523117,0.1120157,0.9716626142775566,0.9997937165551851
CDH5,0.032007,0.19695714,0.974466468951054,0.9997937165551851
TXK,0.03128309,0.33080056,0.9750437734590389,0.9997937165551851
OXGR1,0.02704307,0.18975402,0.9784253811499993,0.9997937165551851
TNFRSF4,0.02404403,0.16047305,0.9808174877205831,0.9997937165551851
UBE2C,0.0238372,0.09362643,0.9809824671919604,0.9997937165551851
EFNA4,0.02363037,0.12057682,0.9811474474767308,0.9997937165551851
FFAR4,0.021303527,0.1606566,0.9830035295815022,0.9997937165551851
TPSB2,0.014633249,0.05983759,0.988324773568091,0.9997937165551851
CD40LG,0.013133728,0.18134925,0.9895211021468004,0.9997937165551851
IL6,0.012564945,0.17967355,0.9899748882615053,0.9997937165551851
HCAR3,0.011737623,0.15224089,0.990634946541619,0.9997937165551851
CXCR5,0.0106000565,0.18794581,0.9915425370504425,0.9997937165551851
LY6D,0.009203952,0.11537102,0.9926564129654677,0.9997937165551851
CYP1B1,0.008686876,0.13051507,0.9930689633485398,0.9997937165551851
ITGAX,0.008118092,0.10849825,0.9935227709059885,0.9997937165551851
PTGDR2,0.0062566185,0.08134355,0.9950079731489349,0.9997937165551851
NRXN1,0.0009824443,0.1280882,0.9992161230270703,0.9997937165551851
CD5L,0.00025853797,0.19075891,0.9997937165551851,0.9997937165551851
GZMB,-0.0010858595,0.15112913,0.9991336096923846,0.9997937165551851
ADORA2A,-0.0032575782,0.11201746,0.9974008331633586,0.9997937165551851
SLC2A4,-0.004188315,0.071902,0.9966582179270209,0.9997937165551851
CXCR2,-0.00429173,0.09198664,0.9965757052899133,0.9997937165551851
INSR,-0.008014677,0.08158631,0.9936052816004098,0.9997937165551851
DDC,-0.011220547,0.12996438,0.9910474862502984,0.9997937165551851
IL1A,-0.015822522,0.12827535,0.9873759797808453,0.9997937165551851
NPPB,-0.023320124,0.030641614,0.9813949194135685,0.9997937165551851
MMP16,-0.025388427,0.13437301,0.9797451414702175,0.9997937165551851
BMP3,-0.025698673,0.08918216,0.9794976820781267,0.9997937165551851
CD27,-0.026732825,0.05827305,0.9786728318206899,0.9997937165551851
EPHA4,-0.02683624,0.11465444,0.9785903480345843,0.9997937165551851
LCN2,-0.027353317,0.099241994,0.9781779325554094,0.9997937165551851
AATK,-0.027663562,0.06967696,0.9779304860607199,0.9997937165551851
TOP2A,-0.028697714,0.0677777,0.9771056798832682,0.9997937165551851
WNT10B,-0.030248942,0.07813785,0.9758685167888745,0.9997937165551851
FGF18,-0.034695793,0.040829897,0.9723223145665469,0.9997937165551851
NRG4,-0.035729945,0.037550777,0.9714976922170169,0.9997937165551851
TPSAB1,-0.03800508,0.07129306,0.9696836315403342,0.9997937165551851
NLRP2,-0.042038273,0.08745837,0.9664681881178769,0.9997937165551851
CCL23,-0.044365115,-0.009388602,0.9646133692240689,0.9997937165551851
PRSS2,-0.04576122,0.031251177,0.9635005691491647,0.9997937165551851
NPR1,-0.04803635,0.020778509,0.9616872704738834,0.9997937165551851
TNFSF4,-0.04829489,0.010613538,0.9614812261699024,0.9997937165551851
FGF13,-0.050104655,-0.008042288,0.960038988846083,0.9997937165551851
TNFRSF9,-0.050621733,0.004024422,0.959626944852725,0.9997937165551851
WNT9A,-0.052431498,0.030677756,0.9581848765306801,0.9997937165551851
CSF2RA,-0.05320711,0.062465124,0.9575668888617624,0.9997937165551851
IL20RA,-0.05455151,0.05894805,0.9564957708633415,0.9997937165551851
CLEC7A,-0.05630957,0.028125806,0.9550951969196533,0.9997937165551851
CSF3,-0.061066665,0.03799066,0.9513061160377575,0.9997937165551851
WNT7A,-0.06928817,0.04543731,0.9447602393490483,0.9997937165551851
TLR8,-0.07042574,0.0052913288,0.9438548041872138,0.9997937165551851
ADGRG1,-0.07114965,0.0013707436,0.9432786558677834,0.9997937165551851
LEP,-0.07326966,-0.044588353,0.9415915361736364,0.9997937165551851
TNFSF8,-0.07502772,-0.11850041,0.9401926597342515,0.9997937165551851
GAS6,-0.07709602,-0.048554562,0.9385471592865303,0.9997937165551851
CELSR2,-0.07978482,0.01930452,0.936408401989275,0.9997937165551851
PROKR1,-0.08257703,-0.05890705,0.9341878705784823,0.9997937165551851
PROK2,-0.08433508,0.0066827144,0.9327900197581716,0.9997937165551851
SOX2,-0.08469704,0.0371546,0.9325022525267983,0.9997937165551851
FCGR3A,-0.08997121,0.03730654,0.9283100928923478,0.9997937165551851
ADGRG2,-0.09348733,-0.22931373,0.9255164175567425,0.9997937165551851
ACKR1,-0.09560734,-0.012619859,0.9238324371672302,0.9997937165551851
CCL4L2,-0.09710686,-0.019335162,0.9226415347179187,0.9997937165551851
IL17A,-0.09886491,-0.02666324,0.9212455252751046,0.9997937165551851
