gene,scores,avg_logFC,p_val,p_val_adj
CD74,7.988012,0.44186488,1.3713223918865783e-15,3.2877454345480716e-13
HLA-DRB1,6.082364,0.15901333,1.1842336844668746e-09,1.6224001477196182e-07
C1QC,5.9152136,0.6888486,3.314448082672212e-09,3.9731946391033137e-07
SELENOP,5.8859963,0.9918264,3.956627555000069e-09,4.216006472494518e-07
C1QB,5.8346286,0.9338676,5.391058990952933e-09,5.170025572323863e-07
C1QA,5.7162642,0.85299486,1.088913311498726e-08,9.493344233884348e-07
MALAT1,5.606869,0.12546466,2.060191589999705e-08,1.6464364456747642e-06
MZT2A,5.277733,0.039326847,1.3079192087799486e-07,9.457037072316067e-06
HLA-DRA,5.17323,0.5019745,2.3008143019267094e-07,1.4709872770318094e-05
B2M,4.9076924,-0.036071856,9.215428328258085e-07,5.523497354249689e-05
HLA-DQB1,4.626391,0.6189328,3.7209294294250176e-06,0.00020990419545991717
HLA-DQA1,4.319541,0.45422047,1.563539861379845e-05,0.000789176172138564
HLA-DPA1,3.7906399,0.19190522,0.0001502596754184102,0.006861858510774065
PSAP,3.6884472,-0.24780738,0.00022562678021625509,0.0098352764648813
HLA-C,3.4643574,-0.06645528,0.0005315000325871352,0.021237855468794278
CD68,3.314194,0.17350106,0.0009190773705058316,0.03264426660426269
HLA-A,3.2685335,-0.067855366,0.0010810641755840714,0.034558018146170814
SLC40A1,2.8665576,0.37782276,0.004149626316014795,0.11369976105880539
HLA-B,2.487276,-0.15592687,0.012872542231264524,0.2939230476138733
MAF,2.3931012,0.28931504,0.016706626449827913,0.3482968427257602
SAT1,2.3577688,-0.03951316,0.018385140883905082,0.36731979390968694
HLA-DRB5,2.3012366,-0.03499695,0.021378256753820202,0.3727590586711559
GPNMB,2.0386887,0.20072229,0.041481116869273485,0.5850057511416658
IGKC,1.9927562,0.198685,0.04628814258131307,0.6022262801222356
HLA-DPB1,1.9085017,-0.0070383744,0.05632640274424759,0.7015197432692655
JCHAIN,1.6602225,0.608399,0.09686969177249992,0.9316290623967713
IGHA1,1.4928006,-0.004658441,0.13548939718799707,0.9769498639345052
TYK2,1.4735036,-0.39789855,0.1406153043742963,0.9871296562041615
CXCL12,1.3393757,0.54125607,0.18044838463320056,0.9934699050120472
CCL13,1.2233219,1.4519556,0.22120814935756838,0.9934699050120472
CCL2,1.1094424,0.8281974,0.26723941445681165,0.9934699050120472
CD9,0.9346821,0.567098,0.3499521790210124,0.9934699050120472
TGFBR1,0.8406431,0.44647214,0.40054791115921584,0.9934699050120472
CALM2,0.8262383,-0.023741873,0.4086689383175828,0.9934699050120472
IGFBP3,0.71915346,0.835022,0.47204637813568884,0.9934699050120472
MRC1,0.6835491,0.3814894,0.4942599342149093,0.9934699050120472
GPX1,0.6563702,-0.24959123,0.5115859523247047,0.9934699050120472
C9orf16,0.6527011,0.4389752,0.5139490184293164,0.9934699050120472
DDC,0.5764643,0.78491837,0.5643014121944797,0.9934699050120472
BMP3,0.53107554,1.1929096,0.5953664439201651,0.9934699050120472
ITGB8,0.5246885,0.71427286,0.5997997630670253,0.9934699050120472
LGALS3,0.52074754,-0.12754335,0.6025426477600895,0.9934699050120472
CRYAB,0.5087888,0.65736705,0.6109002466060882,0.9934699050120472
MYH11,0.49628654,0.6521806,0.6196922580699279,0.9934699050120472
COL11A1,0.49125844,2.7395864,0.6232436632594794,0.9934699050120472
BMPR2,0.47902796,0.4786792,0.6319187456153283,0.9934699050120472
IGF1,0.43431866,0.08844097,0.6640570452459427,0.9934699050120472
TSHZ2,0.43200848,1.5351977,0.6657352585206049,0.9934699050120472
GATA3,0.42670858,0.8404797,0.6695915971671527,0.9934699050120472
GPX3,0.42100102,0.30804977,0.6737543389323708,0.9934699050120472
COL5A1,0.41012946,0.62526584,0.6817109821388319,0.9934699050120472
PPARA,0.40116042,0.39526215,0.6883020139472407,0.9934699050120472
ITGB5,0.3998015,0.18045793,0.6893027386171571,0.9934699050120472
FGF18,0.3969477,0.9629794,0.6914060287983808,0.9934699050120472
IL17A,0.39355034,0.7598614,0.6939130528238708,0.9934699050120472
FZD8,0.38186342,0.9367784,0.7025626783346972,0.9934699050120472
COL16A1,0.38172752,0.8122956,0.7026634848778253,0.9934699050120472
WNT9A,0.3794173,0.87693626,0.7043779949166102,0.9934699050120472
CEACAM6,0.372079,0.84329605,0.7098340207466776,0.9934699050120472
GAS6,0.3652843,0.1659426,0.7148992030985417,0.9934699050120472
BGN,0.34897697,0.46093088,0.7271066090283416,0.9934699050120472
IGFBP6,0.33647466,0.42037544,0.7365129517073792,0.9934699050120472
TPSB2,0.32723385,0.36780417,0.7434910246234693,0.9934699050120472
COL5A2,0.31799302,0.8778646,0.7504902303893641,0.9934699050120472
ITM2A,0.31513923,0.7066449,0.7526559375730115,0.9934699050120472
INS,0.31024703,0.68379766,0.7563731030757044,0.9934699050120472
SLC2A1,0.30983937,0.7984139,0.7566831228384998,0.9934699050120472
BMP2,0.30943167,0.5047617,0.7569931817643327,0.9934699050120472
HGF,0.3082086,0.39866844,0.7579235930540341,0.9934699050120472
HSP90B1,0.30046263,-0.22927184,0.7638242918775194,0.9934699050120472
