gene,scores,avg_logFC,p_val,p_val_adj
Mbp,13.63609,1.7598835,2.4431142157725957e-42,2.053437498356867e-40
Spp1,12.366593,8.507489,3.962731392029963e-35,4.353824490197626e-34
Vim,10.910502,5.0869126,1.0268769891374448e-27,4.293980643631952e-27
Mobp,8.600882,1.8487133,7.910609286113111e-18,1.996656788281703e-17
Plp1,7.9860964,0.9412632,1.3927883263725107e-15,3.2836987049539837e-15
B2m,7.3281255,1.7381098,2.3339418533095923e-13,5.12857026851428e-13
Lgals1,6.4876337,3.5880182,8.719487554966453e-11,1.776661646048316e-10
Gfap,6.2362604,4.048878,4.481547784239605e-10,8.852505082616659e-10
C1qb,5.731477,2.8166811,9.956010740461419e-09,1.8846907719274376e-08
S100a6,5.380287,2.3941238,7.436712464049526e-08,1.3602952831411594e-07
Apod,4.814799,2.3046706,1.4734824812094929e-06,2.5828196568437513e-06
Tuba1a,3.791379,-0.35058162,0.00014981308479773947,0.0002440269336676357
Mpeg1,3.2430022,3.431424,0.0011827734240974293,0.0018392619111080282
S100a8,3.0445924,28.859196,0.0023299593022098196,0.0035670870555689497
Klk6,2.867368,6.345979,0.004139015147704725,0.006279498613079101
S100a11,2.8364046,3.779126,0.004562460739764084,0.006884646771582968
Anxa2,2.8364046,3.6745,0.004562460739764084,0.006884646771582968
Cd52,2.6913657,3.6418042,0.007116012005817172,0.010661333495346403
Dbi,2.6555135,0.02597541,0.007918775853110531,0.011769639442156324
Cldn11,2.5736237,1.724729,0.010063967980734887,0.014749372428609717
Thbs1,2.412696,28.300606,0.01583503055618608,0.022927378436648407
C1qa,2.1755817,2.1470296,0.02958654500987692,0.04193506084452201
Tuba1c,2.1560261,4.5866547,0.03108163388019219,0.04390607273327989
Cd74,1.6170195,4.4530134,0.1058740694146324,0.14387575641551906
Col3a1,1.5889081,4.072753,0.112081151124441,0.1515755551409375
C4b,1.5074255,3.4974644,0.13170160205417547,0.17654736288123524
Lcn2,1.4992774,5.2847333,0.13380169594654515,0.1792196421403525
Tnc,1.4112763,4.5066247,0.1581631635119961,0.2105085335420946
Emp1,1.3909056,4.862764,0.1642540327883707,0.21826958823498113
Tuba1b,1.3469051,-0.4963899,0.17801078573214224,0.23561900064230795
Bst2,1.310238,3.3252003,0.1901153236487969,0.2506540071008844
Emp3,1.2450521,3.4597142,0.21311261453954533,0.27878778602410564
Ube2c,1.234052,4.11723,0.21718355530416855,0.28389234561921256
S100a4,1.2214222,3.4401038,0.22192622679080787,0.28941659211431187
C1qc,1.1464583,1.7986369,0.2516055811861846,0.32509529744348675
Col1a1,1.112643,3.1196933,0.26586176146610563,0.3422003223771237
Ifitm3,1.0861613,2.402072,0.2774076561922264,0.35678827089451615
Fn1,1.0633461,2.2359698,0.28762499752341586,0.36908215331058175
Tspo,1.0095677,2.962916,0.3127024334434999,0.3982218110746389
Col5a2,1.0071232,3.5333035,0.31387554335902823,0.39911103508814405
Cdk1,0.9839008,5.4002137,0.32516430971722254,0.41159729264657463
A2m,0.92156667,4.52282,0.3567546478086362,0.44854492368460547
Top2a,0.92156667,5.709505,0.3567546478086362,0.44854492368460547
Anxa1,0.81400985,3.5255547,0.41563932434734885,0.5160189839201577
Mki67,0.8091209,5.008383,0.4184456226168056,0.5191196248109596
Ctsc,0.7561573,2.3317733,0.44955490739515147,0.5536276918177653
Ms4a7,0.7508609,4.101932,0.4527363667136528,0.5571375054506957
Col1a2,0.748009,2.56449,0.4544547136318464,0.5585242399681127
Ch25h,0.7467868,26.232244,0.45519227171702226,0.5585242399681127
Cybb,0.7467868,26.452234,0.45519227171702226,0.5585242399681127
Ccl3,0.7467868,26.34502,0.45519227171702226,0.5585242399681127
Stab1,0.7317125,2.6839366,0.4643440454277691,0.569337957960671
Dab2,0.7227495,2.529542,0.4698338218765964,0.5756491651418065
Pclaf,0.69260097,4.516661,0.4885600143233718,0.5968527500563867
Cdca3,0.63230395,5.469429,0.5271882988997203,0.639719348945003
Pimreg,0.6318965,26.241976,0.5274545018666117,0.639719348945003
Ppic,0.57608104,4.778167,0.564560416374144,0.6763004885533701
Ccl7,0.5744514,25.945295,0.5656623955419622,0.6763004885533701
Cyp1b1,0.5744514,3.3490884,0.5656623955419622,0.6763004885533701
Ccl4,0.5178211,4.0900035,0.6045831211877435,0.716211576262577
Ccl5,0.5170062,26.02757,0.6051518041624053,0.7163804104204249
Tagln,0.49989492,2.5679736,0.6171490690367973,0.7300686735051768
Crabp1,0.4620056,4.0675826,0.6440773228585702,0.7534404869347645
Cd68,0.44733873,2.3805642,0.6546305063288393,0.764721251660027
Fxyd5,0.41881987,2.4324718,0.675347783334398,0.7818592450310765
Acta2,0.40904197,2.1407778,0.6825088593127085,0.7890628559179251
Ccna2,0.34304118,4.200505,0.7315674834299601,0.8343045723512639
Ttr,0.34304118,4.186873,0.7315674834299601,0.8343045723512639
Thbs4,0.29944804,3.229577,0.7645981987016367,0.8631897730137349
Cd109,0.2872257,24.870607,0.7739395185395629,0.8725636020556709
Ccl2,0.28600344,3.3868964,0.7748754784782069,0.8730332971326179
Msn,0.25015116,2.4015963,0.8024704483495078,0.8989054158242786
Plbd1,0.22978055,24.894165,0.8182622989883936,0.9055292459509477
Foxd1,0.22652125,4.0179086,0.8207960322825104,0.9077356120176974
Cdc25c,0.17233542,24.234896,0.8631738454902822,0.9452737682535273
Acp5,0.17233542,24.185478,0.8631738454902822,0.9452737682535273
Upb1,0.17233542,24.245543,0.8631738454902822,0.9452737682535273
Clic1,0.1686687,2.5939825,0.8660572383521472,0.9469317019749458
Ccr1,0.16826129,2.7317824,0.8663777261376958,0.9469317019749458
Itga5,0.12629782,2.145732,0.899496181675876,0.9635599046934629
Gsn,0.11651993,1.7761087,0.9072404962316476,0.9635599046934629
Prok2,0.11489028,23.315376,0.9085320933605822,0.9635599046934629
Ska1,0.11489028,23.658482,0.9085320933605822,0.9635599046934629
Aurkb,0.11489028,24.053335,0.9085320933605822,0.9635599046934629
Esco2,0.11489028,23.512394,0.9085320933605822,0.9635599046934629
Traf1,0.11489028,23.202742,0.9085320933605822,0.9635599046934629
Bub1,0.11489028,23.28685,0.9085320933605822,0.9635599046934629
Rgs1,0.11489028,23.278744,0.9085320933605822,0.9635599046934629
Slc12a7,0.111630976,2.2295177,0.9111160097805564,0.9656910545025948
Gypc,0.11081615,2.3675237,0.9117621368663946,0.9657669515264079
Fblim1,0.110001326,2.0379586,0.9124083222973817,0.9658428147241175
Rrm2,0.09411225,2.7576764,0.9250199921324549,0.9785768450438368
Nek5,0.05744514,23.19335,0.9541906077589432,0.991956964528623
Lrr1,0.05744514,22.539427,0.9541906077589432,0.991956964528623
Cfap126,0.05744514,22.776026,0.9541906077589432,0.991956964528623
Myb,0.05744514,22.743166,0.9541906077589432,0.991956964528623
Cytl1,0.05744514,22.287413,0.9541906077589432,0.991956964528623
Vit,0.05744514,22.755394,0.9541906077589432,0.991956964528623
Kcnj13,0.05744514,22.143896,0.9541906077589432,0.991956964528623
Magel2,0.05744514,22.435888,0.9541906077589432,0.991956964528623
Lrrc14b,0.05744514,22.445583,0.9541906077589432,0.991956964528623
Mycbpap,0.05744514,20.240755,0.9541906077589432,0.991956964528623
Crispld2,0.05744514,23.330729,0.9541906077589432,0.991956964528623
Adamtsl3,0.05744514,22.545815,0.9541906077589432,0.991956964528623
Cckar,0.05744514,22.256536,0.9541906077589432,0.991956964528623
Has2,0.053778425,3.4271789,0.9571116976700152,0.9929964016262046
Mall,0.053778425,2.722333,0.9571116976700152,0.9929964016262046
Tacr3,0.053778425,2.5549884,0.9571116976700152,0.9929964016262046
Ckap2l,0.05255619,2.7136328,0.9580855242557436,0.9929964016262046
Pbk,0.051741365,3.1127343,0.958734776822921,0.9929964016262046
Ifit1,0.051741365,2.4792993,0.958734776822921,0.9929964016262046
Emilin1,0.011407545,2.383463,0.9908982933324653,1.0
Synpo2l,0.0,0.0,1.0,1.0
Sprr1a,0.0,0.0,1.0,1.0
Irf6,0.0,0.0,1.0,1.0
Tspan18,0.0,0.0,1.0,1.0
Col18a1,0.0,2.1353912,1.0,1.0
Pifo,0.0,0.0,1.0,1.0
Ccl11,0.0,0.0,1.0,1.0
Slc39a4,0.0,0.0,1.0,1.0
Nphs2,0.0,0.0,1.0,1.0
Asgr1,0.0,0.0,1.0,1.0
Ostn,0.0,0.0,1.0,1.0
Insrr,0.0,0.0,1.0,1.0
Dcstamp,0.0,0.0,1.0,1.0
Ccdc121,0.0,0.0,1.0,1.0
Elf3,0.0,0.0,1.0,1.0
Spdef,0.0,0.0,1.0,1.0
Sstr5,0.0,0.0,1.0,1.0
Cacng1,0.0,0.0,1.0,1.0
Fam216b,0.0,0.0,1.0,1.0
Lrp2,0.0,0.0,1.0,1.0
Bpifb1,0.0,0.0,1.0,1.0
Sntn,0.0,0.0,1.0,1.0
Strit1,0.0,0.0,1.0,1.0
Cd79a,0.0,0.0,1.0,1.0
Nme9,0.0,0.0,1.0,1.0
Deup1,0.0,0.0,1.0,1.0
Areg,0.0,0.0,1.0,1.0
Gpr50,0.0,0.0,1.0,1.0
Gsx2,0.0,0.0,1.0,1.0
Slc14a2,0.0,0.0,1.0,1.0
Saa2,0.0,0.0,1.0,1.0
Cfap53,0.0,0.0,1.0,1.0
Cfap43,0.0,0.0,1.0,1.0
Mc5r,0.0,0.0,1.0,1.0
Igkc,0.0,0.0,1.0,1.0
Rfx8,0.0,0.0,1.0,1.0
Morn3,0.0,0.0,1.0,1.0
Htr4,0.0,0.0,1.0,1.0
Arhgap36,0.0,0.0,1.0,1.0
Hcar1,0.0,0.0,1.0,1.0
Col6a5,0.0,0.0,1.0,1.0
Pi15,0.0,0.0,1.0,1.0
Calcr,0.0,0.0,1.0,1.0
Ntf3,0.0,0.0,1.0,1.0
Hydin,0.0,0.0,1.0,1.0
Cfap161,0.0,0.0,1.0,1.0
Ssmem1,0.0,0.0,1.0,1.0
Got1l1,0.0,0.0,1.0,1.0
Cdhr4,0.0,0.0,1.0,1.0
Sema3b,0.0,0.0,1.0,1.0
Tsnaxip1,0.0,0.0,1.0,1.0
Dgkk,0.0,0.0,1.0,1.0
Spef2,-0.004074123,2.385958,0.9967493289669979,1.0
Trh,-0.004074123,2.26453,0.9967493289669979,1.0
Col2a1,-0.004074123,3.0062878,0.9967493289669979,1.0
Trip13,-0.0065185972,2.4539661,0.9947989487928383,1.0
Dcn,-0.017111318,2.052524,0.986347810115763,1.0
Ano2,-0.061926674,1.4575316,0.9506212261734668,0.991956964528623
Tnni3,-0.061926674,-0.14739637,0.9506212261734668,0.991956964528623
Drc7,-0.061926674,1.3857073,0.9506212261734668,0.991956964528623
Ccl8,-0.061926674,0.9048888,0.9506212261734668,0.991956964528623
Scube3,-0.061926674,0.61884195,0.9506212261734668,0.991956964528623
C1ql2,-0.061926674,0.7637281,0.9506212261734668,0.991956964528623
Fam166b,-0.061926674,2.2161508,0.9506212261734668,0.991956964528623
Prdm12,-0.061926674,1.5481813,0.9506212261734668,0.991956964528623
Serpinb2,-0.061926674,1.36424,0.9506212261734668,0.991956964528623
Lif,-0.061926674,2.1267493,0.9506212261734668,0.991956964528623
Gpx6,-0.061926674,0.85969895,0.9506212261734668,0.991956964528623
Twist1,-0.062741496,-1.9399536,0.9499723520242244,0.991956964528623
Fgl2,-0.06477856,2.0841098,0.9483503127161043,0.991956964528623
Cdh1,-0.06477856,1.3123765,0.9483503127161043,0.991956964528623
Ptgis,-0.06477856,1.3229183,0.9483503127161043,0.991956964528623
Saa1,-0.11977922,-21.912203,0.9046580410570721,0.9635599046934629
Hdc,-0.11977922,-21.096333,0.9046580410570721,0.9635599046934629
Kbtbd12,-0.11977922,-20.839472,0.9046580410570721,0.9635599046934629
Cxcl5,-0.11977922,-20.749899,0.9046580410570721,0.9635599046934629
Chat,-0.11977922,-21.145983,0.9046580410570721,0.9635599046934629
Ttn,-0.11977922,-20.679823,0.9046580410570721,0.9635599046934629
Capsl,-0.11977922,-20.896893,0.9046580410570721,0.9635599046934629
Dnah6,-0.11977922,-21.201096,0.9046580410570721,0.9635599046934629
Gimap4,-0.11977922,-20.841276,0.9046580410570721,0.9635599046934629
Mapk15,-0.11977922,-20.7235,0.9046580410570721,0.9635599046934629
Ptchd1,-0.11977922,-21.888927,0.9046580410570721,0.9635599046934629
Grid2ip,-0.11977922,-21.13172,0.9046580410570721,0.9635599046934629
Ccdc81,-0.11977922,-21.07036,0.9046580410570721,0.9635599046934629
Dsc3,-0.11977922,-20.43677,0.9046580410570721,0.9635599046934629
Crocc2,-0.11977922,-20.924742,0.9046580410570721,0.9635599046934629
Ccdc33,-0.11977922,-20.86758,0.9046580410570721,0.9635599046934629
Fbxo47,-0.11977922,-22.343033,0.9046580410570721,0.9635599046934629
Ngfr,-0.11977922,-21.108757,0.9046580410570721,0.9635599046934629
Dnali1,-0.11977922,-21.00618,0.9046580410570721,0.9635599046934629
