gene,scores,avg_logFC,p_val,p_val_adj
Lgals1,15.602408,4.771072,7.009921975589301e-55,6.2874812048596986e-52
B2m,15.592388,3.750986,8.20091471884541e-55,6.2874812048596986e-52
Spp1,15.572349,8.573111,1.1220965862331407e-54,6.2874812048596986e-52
Vim,15.307383,5.7647524,6.825609622150135e-53,2.868462443708594e-50
C1qb,15.255057,4.3752112,1.5236163858855939e-52,5.122398289347367e-50
S100a6,15.134264,3.6474555,9.625214042475157e-52,2.6020209753519716e-49
Mpeg1,15.126471,5.335496,1.0835304477967757e-51,2.6020209753519716e-49
C1qc,15.02516,4.0606937,5.02401099215456e-51,1.0556703097264768e-48
C1qa,14.860948,4.2214217,5.908380625141682e-50,9.931987830863169e-48
Cd68,14.51137,5.7481537,1.026503081133162e-47,1.568683344895314e-45
Cd52,13.97253,5.5605755,2.293323210360498e-44,1.7523074166436352e-42
Ifitm3,13.836707,3.9518466,1.5305940947367314e-43,9.895879512509407e-42
Arpc1b,13.428124,4.1251903,4.1375994261202876e-41,2.0456778339141776e-39
Ctsc,13.0234375,5.167046,9.00245676451141e-39,3.5450879570558218e-37
Litaf,12.894852,3.6709762,4.811907880004969e-38,1.650779009446603e-36
Ctsh,12.808014,3.9075594,1.478718488402949e-37,4.873972115696779e-36
Tspo,12.776841,4.9331512,2.20859383759185e-37,6.875270816651667e-36
Cd9,12.765708,3.1300142,2.5482340350773444e-37,7.788329841754575e-36
S100a11,12.686664,4.327102,7.01095544264453e-37,1.997528152387365e-35
Fn1,12.543047,3.3589516,4.339823832217065e-36,1.1053399790843767e-34
Msn,12.485712,4.7262154,8.934077548493599e-36,2.1765484578286577e-34
Bst2,12.357125,4.6620183,4.458172524309319e-35,9.992250684485285e-34
Tuba1c,12.269731,6.3831615,1.3169066222763018e-34,2.7671500400580793e-33
Anxa2,12.154504,4.233407,5.429052248852652e-34,1.0995466060628081e-32
Gfap,12.078799,3.9058151,1.367019465193484e-33,2.703482024694408e-32
Tuba1b,11.980828,0.88138235,4.478277861345966e-33,8.008494771194223e-32
Stab1,11.90401,4.5912914,1.1279385514463645e-32,1.915216873718524e-31
Clic1,11.842221,4.102415,2.3611418616903114e-32,3.9297816529716964e-31
Cd74,11.266644,5.5647154,1.9174137662213376e-29,2.4985833651302854e-28
Fxyd5,11.134717,2.6486962,8.501501477314391e-29,1.0281312218248554e-27
Ppp1r14b,11.040086,2.1452103,2.4479964576571764e-28,2.818549346110763e-27
Thbs1,11.013367,7.031266,3.2945885180398605e-28,3.7169149656543666e-27
Anxa5,10.957701,2.4712076,6.102997422059879e-28,6.705319389857945e-27
Dab2,10.88812,4.3576784,1.3132376378676544e-27,1.415097736702261e-26
Hmgb2,10.772893,4.270172,4.62246323587437e-27,4.796518950311614e-26
Sparc,10.6682415,1.7305632,1.433122542595831e-26,1.4254905290553797e-25
Dbi,10.657109,1.0952817,1.6154123155489633e-26,1.5973577073163574e-25
Apod,10.406615,2.0430057,2.31299518200061e-25,2.068162181352673e-24
Ly6e,10.383236,0.96059567,2.955830602735086e-25,2.628968911744804e-24
Neat1,10.310314,3.089407,6.329387481002039e-25,5.346583093248456e-24
Emp3,10.151669,4.4913564,3.257457597165346e-24,2.5951593463672735e-23
Ifitm2,9.925668,2.9618094,3.2194069747710455e-23,2.3632415391223266e-22
Gsn,9.872786,2.0257661,5.462606146104172e-23,3.8745320386502596e-22
Crip1,9.384602,2.7431543,6.315471883440955e-21,3.903054498553031e-20
Ube2c,9.3300495,5.3367496,1.0582126252978666e-20,6.492173077101145e-20
Ccnd1,9.132995,2.3942542,6.663007316142933e-20,3.848974329359543e-19
S100a4,8.977132,5.158002,2.7791603693007547e-19,1.5070221228369576e-18
Gltp,8.875821,2.2486532,6.941915691960292e-19,3.6016544068473e-18
Pmp22,8.790097,2.5023408,1.4943095655346422e-18,7.611922362617374e-18
S100a10,8.780634,1.5679762,1.6255591611068928e-18,8.255483232086667e-18
Flna,8.743339,2.1139352,2.2632199737792814e-18,1.1424843170939857e-17
Lcn2,8.687117,5.2722545,3.717555893182336e-18,1.8543654173411e-17
Rhog,8.378174,2.3524787,5.375503253439514e-17,2.429091658341888e-16
Tm4sf1,8.316942,3.390871,9.026153697016764e-17,4.014011736689201e-16
Tnc,7.959572,4.953946,1.7263584459251126e-15,6.844359782075741e-15
C4b,7.9484386,4.703076,1.888768683965301e-15,7.435644397530844e-15
Cldn11,7.9105864,1.3355563,2.561795766842911e-15,9.991597874855995e-15
Anxa3,7.895,2.5090792,2.9031522772861783e-15,1.1270667385953963e-14
Olig1,7.736354,1.3432379,1.0230827385784684e-14,3.8133083892470185e-14
Cdk1,7.5966344,6.307494,3.0393172872671116e-14,1.0987295397625837e-13
Birc5,7.435205,6.1942844,1.0440577749284848e-13,3.6412056424373085e-13
Igfbp7,7.3928995,1.6445013,1.4366095138460077e-13,4.928450189337018e-13
Tagln,7.390673,3.180576,1.460874964315185e-13,5.001488421616754e-13
Emp1,7.2270174,4.5576496,4.937175647658108e-13,1.6337386345892283e-12
Serpinh1,6.994893,2.9543278,2.654610965412283e-12,8.403768423461484e-12
Tuba1a,6.9798636,0.3830968,2.9546684213085763e-12,9.28373386209293e-12
Ch25h,6.9653907,5.2003765,3.2749380257018032e-12,1.02517147508468e-11
Ms4a7,6.947578,6.8550425,3.7161130557371524e-12,1.1546739457845015e-11
Rrm2,6.8997054,4.5609517,5.211040510777893e-12,1.598496185879131e-11
Cks2,6.8807793,4.242522,5.9525946902780215e-12,1.8160275271065977e-11
Ifitm1,6.7983947,2.7013903,1.0579113630562842e-11,3.187005378669559e-11
Lpl,6.633626,3.838182,3.27539515837654e-11,9.625767939214972e-11
S100a8,6.617483,5.8894477,3.6536645073618046e-11,1.0681408759782946e-10
Cers2,6.5985565,1.4034615,4.1517962225957815e-11,1.2074687630075274e-10
Cybb,6.5946603,7.5752096,4.262310621831143e-11,1.2374687660273145e-10
Mki67,6.5890937,28.580116,4.42519646947399e-11,1.2825440112389273e-10
Klk6,6.5395517,3.7885678,6.170355916377572e-11,1.7550538570948728e-10
Top2a,6.4488173,6.556586,1.1272639054020992e-10,3.1425051823896e-10
Col3a1,6.2606688,3.974719,3.8332997953588785e-10,1.0409978927299313e-09
Rbp1,6.0068355,2.0775824,1.8917951557725293e-09,4.953438717840532e-09
Frmd8,5.978446,2.204343,2.252762209791954e-09,5.862063892662964e-09
Dcn,5.9567366,3.3121507,2.573244904760494e-09,6.654807207542139e-09
Pbk,5.9261208,6.390349,3.101746198899092e-09,7.948224634678923e-09
Mgp,5.924451,1.4305869,3.1334288996188175e-09,8.01719022870507e-09
Ccl2,5.9211106,7.4316483,3.1977423757478053e-09,8.144552929745546e-09
Socs3,5.9122043,3.5694551,3.3755927283967353e-09,8.584525531671576e-09
Gatm,5.6433415,1.2345145,1.6678123398890174e-08,4.1048207076917104e-08
Pclaf,5.6160655,6.8640056,1.9535478667290888e-08,4.787046594710784e-08
Ccl4,5.6027055,5.702155,2.110313563393918e-08,5.148675036379066e-08
Ccna2,5.591016,4.3400474,2.2574476517598392e-08,5.4996659458091154e-08
Cald1,5.5058484,2.5761745,3.673950069195632e-08,8.760156122436676e-08
Isg15,5.224182,3.0124788,1.7492654798912755e-07,3.995265314806025e-07
Il33,5.209709,1.718187,1.8913687863293665e-07,4.308117791083557e-07
Ccl3,5.182433,28.628763,2.1900981777551862e-07,4.975074374062794e-07
Gng11,5.1607237,1.5863888,2.4599694468975797e-07,5.573057466623762e-07
Clic4,5.142354,1.2869933,2.71316939397415e-07,6.138408817322403e-07
Itga5,5.1195316,4.52382,3.0629563394292017e-07,6.901916362708429e-07
Cenpa,5.113965,3.7662222,3.1546589914655375e-07,7.09903850689902e-07
Cdca3,5.0343637,27.867916,4.794387141203307e-07,1.0674655343526834e-06
Col1a2,5.0315804,2.8202825,4.864529848054436e-07,1.0802212251756283e-06
Prkcd,5.0104275,2.5553653,5.430921986589723e-07,1.1996556976947862e-06
Rnf213,4.9920583,3.083396,5.973927751840101e-07,1.3144204909480641e-06
Ecscr,4.922477,2.9130967,8.545580324587193e-07,1.863180353518946e-06
Cavin1,4.9091167,2.5624015,9.14874317362637e-07,1.989526167511763e-06
Col1a1,4.8695946,3.4411461,1.1182744424749684e-06,2.4193299070790502e-06
Mgst1,4.856235,2.456301,1.1963874863063634e-06,2.5849966124434406e-06
Cnn2,4.694249,2.8140593,2.67587802563368e-06,5.65805152338392e-06
Fblim1,4.6229978,5.663567,3.7823409087787146e-06,7.937721682468189e-06
Id3,4.612978,0.93557006,3.969405920655127e-06,8.319914404764675e-06
Ahnak,4.602958,1.8417777,4.165320094476131e-06,8.69801624697438e-06
Bgn,4.52614,2.6132376,6.007076434811628e-06,1.2359725198186471e-05
Ccr1,4.4420857,27.827692,8.909110256806991e-06,1.8152987080839457e-05
Hmgn2,4.425943,0.9153549,9.602202108353639e-06,1.9470810306565097e-05
Emilin1,4.3001394,3.8163157,1.7069081824136166e-05,3.391622523211926e-05
Igfbp2,4.251154,1.179184,2.1267200983853978e-05,4.21582132710596e-05
Akap12,4.235011,2.1155932,2.285405884961192e-05,4.5091165406335254e-05
Anxa1,4.1687694,3.3394156,3.06248765960043e-05,6.0070498900680546e-05
Vat1,4.1175575,1.5627184,3.8290936186141096e-05,7.48454229405851e-05
Plbd1,4.071912,27.625713,4.662883723200879e-05,9.072115206829489e-05
Cnp,4.004,0.5713022,6.228030801343792e-05,0.00012033700893171168
A2m,3.9761677,4.334166,7.003477657202758e-05,0.00013470075448235509
Ccl5,3.9238422,27.875246,8.714780154048588e-05,0.00016666149532372783
Ckap2l,3.9177191,4.4147525,8.939078442559624e-05,0.00017075671434025827
Txnip,3.9143791,1.6341084,9.063710439846107e-05,0.0001727448667730307
Cryab,3.8370044,0.44351378,0.00012454418340506883,0.0002352345756223828
Aurkb,3.826985,6.031373,0.00012972253632044278,0.00024446590084603625
Mdk,3.8191917,1.4360068,0.00013388971644832793,0.00025203652110821867
Col18a1,3.8019354,5.0265956,0.00014357015548675507,0.0002699568583593236
Cdca8,3.7612998,4.169367,0.00016903268532624096,0.0003164186459169388
Mobp,3.7574031,0.53921276,0.00017168572508897165,0.0003206707820828459
